current,speed_rad,speed_rpm,torque,voltage,load_torque
0.164028,796.673,7607.67,1.75207e-15,48,0
1.189,780.75,7455.62,0.0617976,48,0.0617976
2.21396,764.828,7303.57,0.123595,48,0.123595
3.23893,748.905,7151.51,0.185393,48,0.185393
4.2639,732.982,6999.46,0.24719,48,0.24719
5.28886,717.059,6847.41,0.308988,48,0.308988
6.31383,701.137,6695.36,0.370785,48,0.370785
7.3388,685.214,6543.31,0.432583,48,0.432583
8.36377,669.291,6391.26,0.494381,48,0.494381
9.38873,653.368,6239.21,0.556178,48,0.556178
10.4137,637.446,6087.16,0.617976,48,0.617976
11.4387,621.523,5935.11,0.679773,48,0.679773
12.4636,605.6,5783.06,0.741571,48,0.741571
13.4886,589.678,5631.01,0.803368,48,0.803368
14.5136,573.755,5478.96,0.865166,48,0.865166
15.5385,557.832,5326.9,0.926964,48,0.926964
16.5635,541.909,5174.85,0.988761,48,0.988761
17.5885,525.987,5022.8,1.05056,48,1.05056
18.6134,510.064,4870.75,1.11236,48,1.11236
19.6384,494.141,4718.7,1.17415,48,1.17415
20.6634,478.218,4566.65,1.23595,48,1.23595
21.6883,462.296,4414.6,1.29775,48,1.29775
22.7133,446.373,4262.55,1.35955,48,1.35955
23.7383,430.45,4110.5,1.42134,48,1.42134
24.7632,414.528,3958.45,1.48314,48,1.48314
25.7882,398.605,3806.4,1.54494,48,1.54494
26.8132,382.682,3654.35,1.60674,48,1.60674
27.8381,366.759,3502.29,1.66853,48,1.66853
28.8631,350.837,3350.24,1.73033,48,1.73033
29.8881,334.914,3198.19,1.79213,48,1.79213
30.9131,318.991,3046.14,1.85393,48,1.85393
31.938,303.068,2894.09,1.91572,48,1.91572
32.963,287.146,2742.04,1.97752,48,1.97752
33.988,271.223,2589.99,2.03932,48,2.03932
35.0129,255.3,2437.94,2.10112,48,2.10112
36.0379,239.378,2285.89,2.16291,48,2.16291
37.0629,223.455,2133.84,2.22471,48,2.22471
38.0878,207.532,1981.79,2.28651,48,2.28651
39.1128,191.609,1829.73,2.34831,48,2.34831
40.1378,175.687,1677.68,2.41011,48,2.41011
41.1627,159.764,1525.63,2.4719,48,2.4719
42.1877,143.841,1373.58,2.5337,48,2.5337
43.2127,127.918,1221.53,2.5955,48,2.5955
44.2376,111.996,1069.48,2.6573,48,2.6573
45.2626,96.073,917.43,2.71909,48,2.71909
46.2876,80.1503,765.379,2.78089,48,2.78089
47.3125,64.2276,613.328,2.84269,48,2.84269
48.3375,48.3049,461.277,2.90449,48,2.90449
49.3625,32.3821,309.227,2.96628,48,2.96628
50.3874,16.4594,157.176,3.02808,48,3.02808
